615,Fidelity National Financial,1740 Haskins,Bakersfield,93799,California,978 598 6175
759,Country Financial,1791 Huron,Kansas City,66029,Kansas,631 504 5523
111,Analog Devices,1913 Drexel,Memphis,38166,Tennessee,779 813 6653
5,M&t Bank Corporation,1888 Sanford,Henderson,89000,Nevada,630 892 2197
165,Comericaorporated,7017 Railroad,Milwaukee,53700,Wisconsin,412 444 2219
736,Lorillard,170 Cornelia,Seattle,98573,Washington,561 245 0687
32,The Hartford Financial Services Group,1974 Rainey,Peoria,85316,Arizona,539 890 6357
654,Cms Energy,3086 Midway Airport Lower,Salem,97376,Oregon,231 722 8996
622,Plains All American Pipeline,4834 Dan Ryan Ob Eisenhower Ob,Evansville,47772,Indiana,585 419 8726
941,Unified Grocers,1864 Foreman,Madison,53511,Wisconsin,262 495 1546
954,Inergy,9764 Virginia,Norman,73051,Oklahoma,312 369 6619
903,M&t Bank Corporation,9059 Gilbert,Anchorage,99890,Alaska,419 721 4260
476,Systemax,8803 Eisenhower Ashland Av,Fargo,58076,North Dakota,870 216 3493
959,Dst Systems,6385 Ib Dan Ryan,Bakersfield,93986,California,903 297 8881
377,Berkshire Hathaway,3976 Longwood,Peoria,61543,Illinois,985 579 1804
47,Fluor Corporation,1307 Stony Island Ext,Allentown,18142,Pennsylvania,970 680 0732
58,Baker Hughesorporated,8697 Randolph Sub,Tulsa,74934,Oklahoma,848 262 0004
486,Comericaorporated,82 Field,Grand Rapids,49520,Michigan,239 770 8570
357,Family Dollar Stores,2932 Mautene,Oakland,94829,California,972 442 3928
792,First Horizon National Corporation,944 Promontory,Newark,07153,New Jersey,563 455 1356
40,Diversey,7386 Wrightwood,Sacramento,95166,California,712 103 1263
493,Honeywell International,4487 Willard,Surprise,85332,Arizona,818 341 2147
526,Occidental Petroleum Corporation,930 Kennedy Cumberland Av,Tampa,33953,Florida,609 316 6147
901,The Kroger Co,3688 Quincy,Raleigh,27677 ,North Carolina,239 255 0736
152,Franklin Templeton Investments,4167 Ib Eisenhower Ob Dan Ryan,Fort Collins,80565,Colorado,956 711 2152
214,Collective Brands,4071 Stevenson 31st St,Paterson,07501,New Jersey,440 420 6088
