1,Con-way,5385 Midway Airport Lower,Salt Lake City,84097,Utah,929 523 1949
2,Cooper-standard Automotive Group,7136 Lsd Sb Stevenson Ob,Overland Park,66258,Kansas,210 847 7843
3,D.r. Horton,9228 Artesian,Savannah,31352,Georgia,408 441 0537
4,Aon,3272 Hyacinth,Baltimore,21696,Maryland,787 169 5048
5,The Aes Corporation,4790 Desplaines,Boise City,83431,Idaho,878 246 2916
6,Education Management Corporation,4601 Bishop Ford 130th St,Memphis,38993,Tennessee,202 595 0652
7,Stanley Black & Decker,8319 Dickinson,Naperville,60410,Illinois,318 370 9165
8,Education Management Corporation,1540 Langley,Riverside,92544,California,310 340 4964
9,Jo-ann Stores,7143 Jefferson,Savannah,31336,Georgia,551 971 0622
10,Southwestern Energy Company,926 Stockton,Little Rock,72136,Arkansas,925 191 9821
11,Boston Scientific Corporation,7873 Zemke,St. Paul,55092,Minnesota,205 122 6077
12,Cisco Systems,9373 Corcoran,Tucson,85176,Arizona,256 932 8708
13,Lsi Corporation,9361 Miltimore,Glendale,85014,Arizona,845 639 0630
14,Western Digital Corporation,5128 Seipp,Greensboro,27472,North Carolina,562 658 0762
15,Charter Communications,8442 North,Tacoma,98019,Washington,980 566 5957
16,Johnson & Johnson,864 Wilcox,Rockford,61184,Illinois,281 759 2859
17,Plexus Corp,2612 Loring,Riverside,92566,California,229 984 4573
18,Hillshire Brands,1511 Jonquil,Boise City,83010,Idaho,832 310 7190
19,Iron Mountain,588 Burnham Harbor,Provo,84049,Utah,786 687 6727
20,Jones Lang Lasalleorporated,8811 Cregier,Fort Worth,76745,Texas,540 947 5438
21,Xerox,390 Hurlbut,Madison,53359,Wisconsin,859 332 6806
22,Xilinx,376 Mccutcheon,Montgomery,36189,Alabama,985 173 0898
23,Raytheon Company,4075 Las Casas,Glendale,85056,Arizona,828 429 2008
24,The Mcgraw-hill Companies,7665 Early,Tacoma,98063,Washington,402 465 5691
25,Flowserve Corporation,9707 Commodore Whalen,Garland,75949,Texas,806 309 3043
26,Valmont Industries,3190 Ross,Seattle,98165,Washington,313 316 0368
27,Xcel Energy,792 South Shore,St. Louis,63513,Missouri,940 994 6775
28,United Refining Company,4022 Baldwin,Cary,27517,North Carolina,252 649 0232
29,Trinity Industries,1602 Miltimore,Oxnard,93002,California,646 761 6598
30,J.b. Hunt Transport,2756 Ruble,Mobile,36614,Alabama,626 882 8157
31,Newpage Corporation,5258 72nd,Cedar Rapids,52224,Iowa,304 526 0153
32,Goodyear Tire & Rubber Co,4079 Dan Ryan 76th St,Baton Rouge,70336,Louisiana,325 789 3641
33,Atmos Energy Corporation,4632 Polk,Stockton,95636,California,786 456 4823
34,Dover Corporation,9530 Kenton,Overland Park,66242,Kansas,256 662 9313
35,Trw,471 Lind,Los Angeles,90262,California,872 841 0647
36,Scansource,8314 Stevenson 25th St,Cary,27511,North Carolina,229 100 1339
37,United Stationers,5010 Arthington,Long Beach,90706,California,850 487 9368
38,Beacon Roofing Supply,4136 Altgeld,Savannah,31356,Georgia,620 985 5934
39,Cms Energy,1349 Maria,Jackson,49205,Mississippi,432 223 2867
40,Calpine Corporation,5923 Fargo,Fort Lauderdale,33475,Florida,916 335 0985
41,Public Storage,4003 Kennedy Monroe St,Provo,84057,Utah,856 137 5881
42,Urban Outfitters,536 Rundell,Grand Rapids,49567,Michigan,718 215 0174
